PLAYERS,G,PA,AB,H,R,2B,3B,HR,RBI,SB,CS,BB,SO,AVG,OBP,SLG,OPS,Salary
Salvador Perez,161,665,620,169,88,24,0,48,121,1,0,28,170,.273,.316,.544,.860,13000000
Rafael Devers,156,664,591,165,101,37,1,38,113,5,5,62,143,.279,.352,.538,.890,11200000
Adam Duvall,146,555,513,117,67,17,2,38,113,5,0,35,174,.228,.281,.491,.772,7000000
Vladimir Guerrero Jr.,161,698,604,188,123,29,1,48,111,4,1,86,110,.311,.401,.601,1.002,7900000
Matt Olson,156,673,565,153,101,35,0,39,111,4,1,88,113,.271,.371,.540,.911,21000000
Austin Riley,160,662,590,179,91,33,1,33,107,0,1,52,168,.303,.367,.531,.898,4000000
Nolan Arenado,157,653,593,151,81,34,3,34,105,2,0,50,96,.255,.312,.494,.806,30500000
José Ramírez,152,636,552,147,111,32,5,36,103,27,4,72,87,.266,.355,.538,.893,20100000
Marcus Semien,162,724,652,173,115,39,2,45,102,15,1,66,146,.265,.334,.538,.872,25000000
Kyle Seager,159,670,603,128,73,29,1,35,101,3,1,59,161,.212,.285,.438,.723,18000000
Mitch Haniger,157,691,620,157,110,23,2,39,100,1,0,54,169,.253,.318,.485,.803,7750000
Shohei Ohtani,155,639,537,138,103,26,8,46,100,26,10,96,189,.257,.372,.592,.964,5500000
Nick Castellanos,138,585,531,164,95,38,1,34,100,3,1,41,121,.309,.362,.576,.938,20000000
Brandon Lowe,149,615,535,132,97,31,0,39,99,7,1,68,167,.247,.340,.523,.863,4000000
Joey Votto,129,533,448,119,73,23,1,36,99,1,0,77,127,.266,.375,.563,.938,25000000
Jorge Polanco,152,644,588,158,97,35,2,33,98,11,6,45,118,.269,.323,.503,.826,5500000
Aaron Judge,148,633,550,158,89,24,0,39,98,6,1,75,158,.287,.373,.544,.917,17000000
Giancarlo Stanton,139,579,510,139,64,19,0,35,97,0,0,63,157,.273,.354,.516,.870,29000000
Fernando Tatis Jr.,130,546,478,135,99,31,0,42,97,25,4,62,153,.282,.364,.611,.975,24000000
Pete Alonso,152,637,561,147,81,27,3,37,94,3,0,60,127,.262,.344,.519,.863,7400000
Max Muncy,144,592,497,124,95,26,2,36,94,2,1,83,120,.249,.368,.527,.895,13000000
Bryce Harper,141,599,488,151,101,42,1,35,84,13,3,100,134,.309,.429,.615,1.044,27500000
Tyler O'Neill,138,537,482,138,89,26,2,34,80,15,4,38,168,.286,.352,.560,.912,3500000
Joey Gallo,153,616,498,99,90,13,1,38,77,6,0,111,213,.199,.351,.458,.809,10275000
Mike Zunino,109,375,333,72,64,11,2,33,62,0,0,34,132,.216,.301,.559,.860,7000000

